"iso_2","iso_3","country","continent","oecd","year","category","value"
"AU","AUS","Australia","OC",1,"2008","5000",75.189
"AU","AUS","Australia","OC",1,"2009","5000",82.351
"AU","AUS","Australia","OC",1,"2010","5000",99.616
"AU","AUS","Australia","OC",1,"2011","5000",108.604
"AU","AUS","Australia","OC",1,"2012","5000",115.682
"AU","AUS","Australia","OC",1,"2013","5000",113.697
"AU","AUS","Australia","OC",1,"2014","5000",96.794
"AU","AUS","Australia","OC",1,"2015","5000",94.807
"AU","AUS","Australia","OC",1,"2016","5000",98.64
"AU","AUS","Australia","OC",1,"2017","5000",105.017
"AU","AUS","Australia","OC",1,"2018","5000",102.46
"AU","AUS","Australia","OC",1,"2019","5000",99.862
"AU","AUS","Australia","OC",1,"2013","1100",158.419
"AU","AUS","Australia","OC",1,"2014","1100",149.982
"AU","AUS","Australia","OC",1,"2015","1100",143.277
"AU","AUS","Australia","OC",1,"2016","1100",149.783
"AU","AUS","Australia","OC",1,"2017","1100",160.741
"AU","AUS","Australia","OC",1,"2018","1100",165.223
"AU","AUS","Australia","OC",1,"2019","1100",159.693
"AU","AUS","Australia","OC",1,"2018","4000",38.248
"AU","AUS","Australia","OC",1,"2019","4000",37.329
"AU","AUS","Australia","OC",1,"2014","1200",58.986
"AU","AUS","Australia","OC",1,"2015","1200",52.032
"AU","AUS","Australia","OC",1,"2016","1200",59.593
"AU","AUS","Australia","OC",1,"2008","6000",0
"AU","AUS","Australia","OC",1,"2009","6000",0
"AU","AUS","Australia","OC",1,"2010","6000",0
"AU","AUS","Australia","OC",1,"2011","6000",0
"AU","AUS","Australia","OC",1,"2012","6000",0
"AU","AUS","Australia","OC",1,"2013","6000",0
"AU","AUS","Australia","OC",1,"2014","6000",0
"AU","AUS","Australia","OC",1,"2015","6000",0
"AU","AUS","Australia","OC",1,"2016","6000",0
"AU","AUS","Australia","OC",1,"2017","6000",0
"AU","AUS","Australia","OC",1,"2018","6000",0
"AU","AUS","Australia","OC",1,"2019","6000",0
"AU","AUS","Australia","OC",1,"2017","3000",19.307
"AU","AUS","Australia","OC",1,"2018","3000",19.388
"AU","AUS","Australia","OC",1,"2019","3000",17.998
"AU","AUS","Australia","OC",1,"2011","4000",34.708
"AU","AUS","Australia","OC",1,"2012","4000",35.963
"AU","AUS","Australia","OC",1,"2013","4000",38.147
"AU","AUS","Australia","OC",1,"2014","4000",37.093
"AU","AUS","Australia","OC",1,"2015","4000",36.744
"AU","AUS","Australia","OC",1,"2016","4000",39.292
"AU","AUS","Australia","OC",1,"2008","2000",0
"AU","AUS","Australia","OC",1,"2009","2000",0
"AU","AUS","Australia","OC",1,"2010","2000",0
"AU","AUS","Australia","OC",1,"2011","2000",0
"AU","AUS","Australia","OC",1,"2008","4000",22.51
"AU","AUS","Australia","OC",1,"2009","4000",26.891
"AU","AUS","Australia","OC",1,"2010","4000",32.532
"AU","AUS","Australia","OC",1,"2009","1300",0
"AU","AUS","Australia","OC",1,"2010","1300",0
"AU","AUS","Australia","OC",1,"2011","1300",0
"AU","AUS","Australia","OC",1,"2012","1300",0
"AU","AUS","Australia","OC",1,"2013","1300",0
"AU","AUS","Australia","OC",1,"2014","1300",0
"AU","AUS","Australia","OC",1,"2017","4000",40.054
"AU","AUS","Australia","OC",1,"2011","1200",77.489
"AU","AUS","Australia","OC",1,"2012","1200",76.329
"AU","AUS","Australia","OC",1,"2013","1200",70.929
"AU","AUS","Australia","OC",1,"2019","1300",0
"AU","AUS","Australia","OC",1,"2016","3000",17.96
"AU","AUS","Australia","OC",1,"2008","1300",0
"AU","AUS","Australia","OC",1,"2011","1100",158.007
"AU","AUS","Australia","OC",1,"2012","1100",162.218
"AU","AUS","Australia","OC",1,"2015","2000",0
"AU","AUS","Australia","OC",1,"2016","2000",0
"AU","AUS","Australia","OC",1,"2017","2000",0
"AU","AUS","Australia","OC",1,"2008","1200",57.56
"AU","AUS","Australia","OC",1,"2015","1300",0
"AU","AUS","Australia","OC",1,"2016","1300",0
"AU","AUS","Australia","OC",1,"2017","1300",0
"AU","AUS","Australia","OC",1,"2018","1300",0
"AU","AUS","Australia","OC",1,"2008","1100",102.671
"AU","AUS","Australia","OC",1,"2009","1100",105.085
"AU","AUS","Australia","OC",1,"2010","1100",134.18
"AU","AUS","Australia","OC",1,"2012","2000",0
"AU","AUS","Australia","OC",1,"2017","1200",72.833
"AU","AUS","Australia","OC",1,"2018","1200",75.913
"AU","AUS","Australia","OC",1,"2019","1200",65.13
"AU","AUS","Australia","OC",1,"2008","3000",13.957
"AU","AUS","Australia","OC",1,"2009","3000",14.588
"AU","AUS","Australia","OC",1,"2009","1200",50.342
"AU","AUS","Australia","OC",1,"2010","1200",62.175
"AU","AUS","Australia","OC",1,"2012","3000",21.407
"AU","AUS","Australia","OC",1,"2013","3000",20.7
"AU","AUS","Australia","OC",1,"2014","3000",18.667
"AU","AUS","Australia","OC",1,"2015","3000",17.453
"AU","AUS","Australia","OC",1,"2011","3000",20.987
"AU","AUS","Australia","OC",1,"2019","2000",0
"AU","AUS","Australia","OC",1,"2013","2000",0
"AU","AUS","Australia","OC",1,"2014","2000",0
"AU","AUS","Australia","OC",1,"2018","2000",0
"AU","AUS","Australia","OC",1,"2010","3000",17.959
"AT","AUT","Austria","EU",1,"2009","6000",1.372
"AT","AUT","Austria","EU",1,"2016","6000",0.83
"AT","AUT","Austria","EU",1,"2014","6000",1.049
"AT","AUT","Austria","EU",1,"2011","6000",1.267
"AT","AUT","Austria","EU",1,"2019","6000",0.905
"AT","AUT","Austria","EU",1,"2018","5000",53.222
"AT","AUT","Austria","EU",1,"2019","5000",52.083
"AT","AUT","Austria","EU",1,"2015","6000",0.818
"AT","AUT","Austria","EU",1,"2010","6000",1.45
"AT","AUT","Austria","EU",1,"2012","6000",1.232
"AT","AUT","Austria","EU",1,"2013","6000",1.236
"AT","AUT","Austria","EU",1,"2011","1100",39.694
"AT","AUT","Austria","EU",1,"2009","CUS",0.445
