"","iso_2","iso_3","country","continent","oecd","year","category","share"
"1","AU","AUS","Australia","OC",1,"2020","2000","0"
"2","AU","AUS","Australia","OC",1,"2021","1100","39.003"
"3","AU","AUS","Australia","OC",1,"2019","5000","26.309"
"4","AU","AUS","Australia","OC",1,"2018","5000","25.538"
"5","AU","AUS","Australia","OC",1,"2019","2000","0"
"6","AU","AUS","Australia","OC",1,"2020","5000","26.499"
"7","AU","AUS","Australia","OC",1,"2021","5000","23.277"
"8","AU","AUS","Australia","OC",1,"2021","4000","10.89"
"9","AU","AUS","Australia","OC",1,"2019","6000","0"
"10","AU","AUS","Australia","OC",1,"2020","1300","0"
"11","AU","AUS","Australia","OC",1,"2018","1200","18.917"
"12","AU","AUS","Australia","OC",1,"2018","6000","0"
"13","AU","AUS","Australia","OC",1,"2021","3000","4.321"
"14","AU","AUS","Australia","OC",1,"2020","1100","40.14"
"15","AU","AUS","Australia","OC",1,"2018","4000","9.533"
"16","AU","AUS","Australia","OC",1,"2019","4000","9.835"
"17","AU","AUS","Australia","OC",1,"2020","4000","10.083"
"18","AU","AUS","Australia","OC",1,"2020","1200","18.808"
"19","AU","AUS","Australia","OC",1,"1990","1300","0"
"20","AU","AUS","Australia","OC",1,"2021","2000","0"
"21","AU","AUS","Australia","OC",1,"2019","1200","17.129"
"22","AU","AUS","Australia","OC",1,"2019","1300","0"
"23","AU","AUS","Australia","OC",1,"2020","3000","4.47"
"24","AU","AUS","Australia","OC",1,"1990","3000","6.107"
"25","AU","AUS","Australia","OC",1,"2018","1300","0"
"26","AU","AUS","Australia","OC",1,"2018","2000","0"
"27","AU","AUS","Australia","OC",1,"2019","3000","4.682"
"28","AU","AUS","Australia","OC",1,"2021","1300","0"
"29","AU","AUS","Australia","OC",1,"2018","1100","41.18"
"30","AU","AUS","Australia","OC",1,"1990","5000","27.825"
"31","AU","AUS","Australia","OC",1,"2019","1100","42.045"
"32","AU","AUS","Australia","OC",1,"2018","3000","4.832"
"33","AU","AUS","Australia","OC",1,"1990","2000","0"
"34","AU","AUS","Australia","OC",1,"2021","1200","22.508"
"35","AU","AUS","Australia","OC",1,"2020","6000","0"
"36","AU","AUS","Australia","OC",1,"1990","1100","42.972"
"37","AU","AUS","Australia","OC",1,"2021","6000","0"
"38","AU","AUS","Australia","OC",1,"1990","4000","8.95"
"39","AU","AUS","Australia","OC",1,"1990","6000","0"
"40","AU","AUS","Australia","OC",1,"1990","1200","14.146"
"41","AT","AUT","Austria","EU",1,"2018","4000","1.29"
"42","AT","AUT","Austria","EU",1,"2018","1100","22.229"
"43","AT","AUT","Austria","EU",1,"2019","5000","27.495"
"44","AT","AUT","Austria","EU",1,"2020","2000","36.809"
"45","AT","AUT","Austria","EU",1,"2019","4000","1.275"
"46","AT","AUT","Austria","EU",1,"2020","5000","27.1"
"47","AT","AUT","Austria","EU",1,"2019","2000","34.908"
"48","AT","AUT","Austria","EU",1,"2018","5000","27.698"
"49","AT","AUT","Austria","EU",1,"2018","3000","6.397"
"50","AT","AUT","Austria","EU",1,"2018","2000","34.806"
"51","AT","AUT","Austria","EU",1,"2019","1100","22.606"
"52","AT","AUT","Austria","EU",1,"2020","4000","1.369"
"53","AT","AUT","Austria","EU",1,"2020","1300","0.511"
"54","AT","AUT","Austria","EU",1,"2018","1300","0.691"
"55","AT","AUT","Austria","EU",1,"2020","3000","6.515"
"56","AT","AUT","Austria","EU",1,"2021","3000","6.455"
"57","AT","AUT","Austria","EU",1,"2021","4000","1.455"
"58","AT","AUT","Austria","EU",1,"2021","1300","0.746"
"59","AT","AUT","Austria","EU",1,"1990","1300","1"
"60","AT","AUT","Austria","EU",1,"2022","1300","0.71"
"61","AT","AUT","Austria","EU",1,"2022","3000","6.266"
"62","AT","AUT","Austria","EU",1,"2019","6000","0.481"
"63","AT","AUT","Austria","EU",1,"2021","1200","6.353"
"64","AT","AUT","Austria","EU",1,"2018","1200","6.412"
"65","AT","AUT","Austria","EU",1,"2020","1100","22.166"
"66","AT","AUT","Austria","EU",1,"2022","6000","0.402"
"67","AT","AUT","Austria","EU",1,"2019","3000","6.366"
"68","AT","AUT","Austria","EU",1,"2022","1200","7.903"
"69","AT","AUT","Austria","EU",1,"2020","6000","0.429"
"70","AT","AUT","Austria","EU",1,"2021","1100","22.411"
"71","AT","AUT","Austria","EU",1,"2021","6000","0.422"
"72","AT","AUT","Austria","EU",1,"2021","5000","26.743"
"73","AT","AUT","Austria","EU",1,"2022","5000","26.967"
"74","AT","AUT","Austria","EU",1,"2019","1300","0.491"
"75","AT","AUT","Austria","EU",1,"1990","2000","32.87"
