"year","individual_1100","corporate_1200","social_2000","property_4000","consumption_5000","other","total"
"2016",4346.648659,1233.766872,4087.410178,1285.95607,3570.811818,256.776563,14781.37016
"2012",4010.397411,1254.779009,4023.800681,1212.627417,3566.428746,289.54036,14357.573624
"2017",4575.232198,1265.028893,4260.354398,1588.944124,3717.340749,281.76691,15688.667272
"2013",4248.931076,1280.182867,4178.119996,1247.603903,3667.177908,301.939806,14923.955556
"2009",3361.069432,883.47648,3754.431952,1119.070166,3086.394321,256.035523,12460.477874
"2010",3479.894963,1072.63925,3833.530284,1138.428618,3300.239856,262.765189,13087.49816
"2015",4298.592449,1179.74652,3937.598586,1239.617914,3501.674553,260.045582,14417.275604
"2011",3954.231644,1203.582781,4069.815986,1205.173274,3616.942936,299.251272,14348.997893
"2014",4420.684835,1296.638104,4265.959429,1293.350723,3792.96157,302.046996,15371.641657
"2008",3974.958113,1216.364197,3923.489751,1139.200006,3379.413721,286.881284,13920.307072
